efternamn,tilltalsnamn,parti,valkrets,fodd_ar,examen,studietid_ar,studietid_not,yrkesar_ex_politik,yrkesar_totalt,yrkesar_not,utbildning_raw,anstallningar_raw
"Björklund","Heléne","S","Blekinge län","1972","Landsting; ledarskapsutbildning","28","härledd 1988→2016","14","14","spann-summa","Gymnasieprogram Handel och kontor, Sölvesborg 88–90. Komvux, Sölvesborg 92–94. Grundskollärarprogrammet SV, SO, Kristianstad 95–98. Ledarprogram för toppolitiker, Sveriges Kommuner och Landsting 13–14. Kvalificerad ledarskapsutbildning, Campus Bommersvik 16.","Säljare Ica Supermarkets klädavdelning, Sölvesborg 90–93. Vikarierande lärare Möllebacksskolan, Sölvesborg 96–98, speciallärare 98–07."
"Brunsberg","Camilla","M","Blekinge län","1972","","8","härledd 1992→2000","27","27","spann-summa, pågående=2025","Gymnasieskola, Kristianstad, slutår 92. Organist och körledare samt solistprogrammet, Musikhögskolan i Malmö, slutår 98. Master in Performance and Literature, Eastman School of Music, Rochester University, USA (Fulbrightstipendiat) 00.","Music Director, First Universalist Church, Rochester, upstate New York 98–00. Teaching assistant, Eastman School of Music, Rochester University 99–00. Organist- och körledare, musikdirektör, Kungliga Karlskrona Amiralitetsförsamling 00–."
"Frohm","Ann-Christine","SD","Blekinge län","1972","Fjärdhundra; Enköping; utbildning; redovisningsassistent","2","härledd 1988→1990","4","4","spann-summa","Grundskola, Fjärdhundra, slutår 88. Gymnasieskola, social service, Westerlundska gymnasiet, Enköping, slutår 90. Högre administrativ utbildning, redovisningsassistent, Västerås.","Vårdbiträde, Enköping/Västerås. Konferensvärdinna, Enköping. Restaurangbiträde, Västerås. Assistent i skolan, Västerås. Djurskötare, Enköping. Städerska, Västerås. Kokerska, Västerås. Oppositionsråd, Västerås kommun 14–18."
"Jomshof","Richard","SD","Blekinge län","1969","lärarexamen; Fördjupning","2","härledd 1997→1999","6","17","spann-summa; 3 politiskt segment borträknat","SO-lärarexamen, Malmö lärarhögskola/Lunds universitet 97. Fördjupning i geografi och historia, Lunds universitet 97–99.","Butiksbiträde, Obs Stormarknad i Helsingborg 88–91. Värnplikt, F 17 Kallinge 91. Klasslärare, år 4, Lerbäckskolan i Lund 99/00. SO-lärare, år 7 och 8, Magnus Stenbocksskolan, Helsingborg 01. Lärare, geografi, filosofi och psykologi, gymnasieskolan Pro Civitas, Växjö 02–05. Politisk sekreterare, Karlskrona kommun 06–10. Politisk sekreterare, landstinget Blekinge 06–10. Partisekreterare Sverigedemokraterna 15–22."
"Manhammar","Magnus","S","Blekinge län","1980","","","Utbildning saknas","","","Anställningar saknas","",""
"Bengtsson","Mathias","KD","Dalarnas län","1998","","5","härledd 2017→2022","","4","spann-summa; 1 politiskt segment borträknat","Hagagymnasiet, Borlänge, slutår 17. Glimåkra folkhögskola, slutår 18. Studier på samhällsvetarprogrammet, Högskolan Dalarna, 20–22.","Politisk sekreterare, Region Dalarna, 18-22."
"Carlsson","Crister","M","Dalarnas län","1963","","","Utbildning saknas","","","Anställningar saknas","",""
"Fredholm","Kajsa","V","Dalarnas län","1961","","","Utbildning saknas","","","Anställningar saknas","",""
"Giertz","Rasmus","SD","Dalarnas län","1994","","","Utbildning saknas","","","Anställningar saknas","",""
"Gille","Sara","SD","Dalarnas län","1981","","","inga årtal","","","inga daterade spann","Omvårdnadsprogrammet, Gimo bruksgymnasium, Gimo. Utbildad undersköterska.","Arbetat inom vården med hemtjänst, äldreboenden, nattpatrull, demensboende samt som personlig assistent. Politisk sekreterare, Region Västernorrland."
"Hedberg","Anna-Lena","SD","Dalarnas län","1973","Barnskötarutbildning.","","inga årtal","","","Anställningar saknas","Barnskötarutbildning. Yrkeshögskola. Medicinsk sekreterare.",""
"Hultqvist","Peter","S","Dalarnas län","1958","","","Utbildning saknas","","","Anställningar saknas","",""
"Höglund","Malin","M","Dalarnas län","1969","","","Utbildning saknas","","","Anställningar saknas","",""
"Isacsson","Lars","S","Dalarnas län","1970","","14","härledd 1986→2000","31","31","spann-summa, pågående=2025","Grundskola, Avesta, slutår 86. Gymnasieskola, Avesta, slutår 89. Studier på grundskollärarprogrammet 4-9, Högskolan Dalarna 96–00.","Fastighetsskötare, P. Noredal Fastighetsservice, Bagarmossen 90–92. Elevassistent, Avesta kommun 92–96. Lärare, Avesta kommun 00–."
"Liljeberg","Ulrika","C","Dalarnas län","1969","Jur.kand.; ek.kand.","10","härledd 1988→1998","24","24","spann-summa","Naturvetenskapligt gymnasium, Hagaskolan, Borlänge, slutår 88. Jur.kand., Stockholms universitet 96 och ek.kand. 98.","Projektledare, Småföretagarforum 98–01. Notarie/jurist, Länsrätten, Stockholm 01–05. Jurist, Kammarrätten, Stockholm 05. Åklagare, Åklagarkammaren Falun 05–08. Kommunstyrelsens ordförande, Leksand 08–22."
"Olsson","Marie","S","Dalarnas län","1967","","","Utbildning saknas","","","Anställningar saknas","",""
"Skalberg Karlsson","Jesper","M","Gotlands län","1993","Civilingenjörsprogrammet","2","härledd 2012→2014","7","7","spann-summa","Gymnasieskola, Naturvetenskapligt program, Visby, slutår 12. Civilingenjörsprogrammet i industriell ekonomi, Kungliga tekniska högskolan 14–.","Diskplockare, Hamnplan 5 11–13. Bartender, Tott Hotell 13. Reparatör, Nikab Sthlm AB 13–14. Kommunikatör, Nya Moderaterna 14. Regionråd 18–22."
"Westerén","Hanna","S","Gotlands län","1981","Fil.mag.","7","härledd 2000→2007","24","24","spann-summa, pågående=2025","Gymnasieskola, Visby, slutår 00. Fil.mag. europeisk historia, Högskolan på Gotland 07.","Försäkringskassan 01–."
"André","Lili","KD","Gävleborgs län","1970","Kandidatexamen","13","härledd 1989→2002","26","26","spann-summa","Gymnasieskola, Gävle, slutår 89. Kandidatexamen, Högskolan i Gävle, slutår 02.","Fritidsledare, Fritidsgården Humlan, Gävle 89–90. Postkassör, Gävle 91–93. Postsorterare, Gävle 94–97. Anställd vid Högskolan i Gävle 02–18. Samverkanskoordinator, KTH, Stockholm 18–20. Processledare innovation, Future Position X, Gävle 20–22."
"Backeskog","Sanna","S","Gävleborgs län","1985","","6","härledd 2004→2010","11","20","spann-summa, pågående=2025; 1 politiskt segment borträknat","Gymnasieskola, teaterlinjen, Vasaskolan, Gävle, slutår 04. Hälsopedagogprogrammet, Högskolan i Gävle, slutår 10.","Telefonförsäljare, Call-UP 04–06. Butiksbiträde, Time närbutik, Gävle 07–12. Ombudsman, SSU Gävleborg 12–15. Verksamhetsutvecklare, Hyresgästföreningen region Aros, Gävle 15–16. Ombudsman, Socialdemokraterna i Gävleborg 16–."
"Beckman","Lars","M","Gävleborgs län","1967","","3","härledd 1983→1986","34","34","spann-summa, pågående=2025","Gymnasieskola, ekonomisk linje, Björknässkolan Boden 83–86.","Master Foods AB 89–95. Representant, Mix Megapol 95–99. Säljchef, Gävle-Dala NRJ 00–01. Försäljningsdirektör, Föreningen Svenskt Näringsliv 02–. Regionchef/delägare, Nordiska Kvalitetspooler AB 07–."
"Gonzalez Westling","Samuel","V","Gävleborgs län","1983","","2","härledd 2002→2004","17","17","spann-summa, pågående=2025; 1 politiskt segment borträknat","Allmän linje, Axevalla folkhögskola, Axvall, slutår 02 Spanska, Universidad de Salamanca, Salamanca, Spanien 04.","Produktionsarbetare, Autoflator AB, i Vårgårda 03. Produktionsarbetare, TA Hydronics AB, i Annelund 05. Produktionsarbetare, ACT produkter AB, i Alingsås 06. Personlig assistent, Hofors kommun, Hofors 08. Brevbärare, Posten AB/PostNord AB, Hofors/Sandviken 08–(tjänstledig). Politisk sekreterare, Vänsterpartiet Gävle, Gävle 15–17 Politisk sekreterare, Vänsterpartiet Dalarna, Borlänge/Falun 15–22"
"Hedlund","Roger","SD","Gävleborgs län","1979","","3","härledd 1995→1998","13","15","spann-summa; 2 politiskt segment borträknat","Industriprogrammet Parkskolan, Sandviken 95–98.","Industrirobotoperatör, Sandvik AB, Sandviken 98–10 och 12–13. Politisk sekreterare, riksdagen, Stockholm 10–11. Politisk sekreterare, Landstinget Gävleborg, Gävle 13–14."
"Lindberg","Kristoffer","S","Gävleborgs län","1992","","13","härledd 2008→2021","10","10","spann-summa, pågående=2025","Torsbergsgymnasiet, estetiskt program, Bollnäs 08-11. Fridhems folkhögskola, teaterlinjen, Svalöv 12–13. Studier i statsvetenskap och spanska, Umeå universitet, Luleå tekniska universitet och Högskolan Dalarna 19–21.","Butiksbiträde, matbutik i Bollnäs 08–13. Lärarvikarie, Ovanåkers kommun 11–12, 13–14. Butiksbiträde, klädbutik i Bollnäs 13–14. Verksamhetsutvecklare, Arbetarnas bildningsförbund västra Hälsingland 21–."
"Lundqvist","Patrik","S","Gävleborgs län","1984","","","ett årtal (studietid ej härledbar)","19","19","spann-summa, pågående=2025","Gymnasieskola, komvux, Sandviken 10.","Mekaniker/Kransynare, Sandvik SMT och Alleima AB, 06–."
"Persson","Daniel","SD","Gävleborgs län","1982","","","ett årtal (studietid ej härledbar)","14","15","spann-summa; 1 politiskt segment borträknat","Gymnasieskola, hotell- och restaurang, Söderhamn, slutår 01.","Kökschef, Tönnebro värdshus 01–06. Kock, Best Western hotell, Söderhamn 06–13. Politisk sekreterare, Sverigedemokraterna Gävleborg 13–14. Kock, Ångersjön 14–15. Kock, Bemanningen, Söderhamns kommun 15–16."
"W Jonsson","Anders","C","Gävleborgs län","1961","Läkarexamen","7","härledd 1987→1994","23","23","spann-summa","Läkarexamen, Karolinska Institutet 87. Leg. läkare 90. Specialist barnmedicin 94.","Neurologkliniken Huddinge sjukhus, underläkare 87–88. AT-läkare, Huddinge sjukhus 88–90. ST-läkare, barnkliniken Gävle sjukhus 90–94. Avdelningsläkare, barnkliniken Gävle sjukhus 94–98. Överläkare, barnkliniken Gävle sjukhus 98–02. Verksamhetschef, barnkliniken Gävle sjukhus 02–06. Politiskt sakkunnig, Statsrådsberedningen 06–10."
"Wickman","Linnéa","S","Gävleborgs län","1992","Fil.kand.","6","härledd 2011→2017","2","6","spann-summa; 2 politiskt segment borträknat","Borgarskolan, Gävle, samhällsvetenskapliga programmet, slutår 11. Fil.kand. statsvetenskap, Uppsala Universitet 17.","Restaurangbiträde, McDonald's Hemsta, Gävle 11–12. Projektledare för Miljötinget, Landstinget Gävleborg 12–13. Valkretsombudsman, Socialdemokraterna Gävleborg 17. Politisk sekreterare, Socialdemokraterna, Gävle kommun 18–22."
"Wärnick","Viktor","M","Gävleborgs län","1991","Gymnasieutbildning; ekonomiinriktning; Juristexamen","8","härledd 2010→2018","7","7","spann-summa","Gymnasieutbildning samhällsvetenskapliga programmet (ekonomiinriktning) Staffangymnasiet, Söderhamn, slutår 10. Juristexamen, Uppsala universitet 18.","Kundtjänstmedarbetare, Teleperformance, Söderhamn 09–14. Asylprövningshandläggare, Migrationsverket, Gävle 16–18."
"Ali Elmi","Leila","MP","Göteborgs kommun","1988","","","Utbildning saknas","","","Anställningar saknas","",""
"Berntsson","Magnus","KD","Göteborgs kommun","1973","Elektroingenjörsexamen; Civilingenjör","13","härledd 1992→2005","","","inga daterade spann","Gymnasieskola, Göteborg, slutår 92. Elektroingenjörsexamen, Chalmers Tekniska Högskola 94. Civilingenjör inom elektroteknik, Chalmers Tekniska Högskola 05.","Tidningsbud, Västsvensk tidningsdistribution. Fastighetsförvaltare, Öbo AB. Städare, LKN Industriautomation. Ingenjör, Teamster AB."
"Büser","Johan","S","Göteborgs kommun","1983","","","inga årtal","","","inga daterade spann","Examen på juristprogrammet, Handelshögskolan i Göteborg.","Truckförare, montör, högstadielärare och gymnasielärare. Politisk sekreterare, kommunstyrelsen i Göteborg."
"Carlsson","Gunilla","S","Göteborgs kommun","1966","","","ett årtal (studietid ej härledbar)","15","15","spann-summa","Gymnasieskola, ekonomisk linje, slutår 85.","Affärsbiträde 85–95. Projektanställd 95–00. Enhetsledare, ABF 00."
"Cisija","Dzenan","S","Göteborgs kommun","1976","","","Utbildning saknas","","","Anställningar saknas","",""
"Dioukarev","Dennis","SD","Göteborgs kommun","1993","på kandidatprogrammet","2","härledd 2012→2014","1","1","spann-summa","Gymnasieskola, Göteborg, slutår 12. Civilekonomprogrammet, Linnéuniversitetet, 12–14. Studier på kandidatprogrammet i företagsekonomi, Stockholms universitet.","Ekonomiassistent, privat sektor, 13–14. Valorganisatör, Sverigedemokratisk ungdom 14."
"Göthberg","Gustaf","M","Göteborgs kommun","1993","","","inga årtal","5","7","spann-summa; 1 politiskt segment borträknat","Studier i ekonomisk historia, rysk idéhistoria och praktisk filosofi, Göteborgs universitet.","Politisk sekreterare, Sundbybergs kommun 13–15. Landstingsrådssekreterare, Stockholms läns landstings trafikrotel 15–17. Stadssekreterare, Göteborgs kommun 18. Frilansskribent och analytiker 19–20. Projektledare, Jarl Hjalmarson Stiftelsen 20–22."
"Haddou","Tony","V","Göteborgs kommun","1989","","","Utbildning saknas","","","Anställningar saknas","",""
"Hänel Sandström","Marie-Louise","M","Göteborgs kommun","1968","","","inga årtal","38","38","spann-summa, pågående=2025","Leg. sjuksköterska, intensivvårdsköterska, Göteborg. Leg. läkare, specialist inom allmänmedicin, Göteborg.","Göteborgs stad och Västra Götalandsregionen 87–."
"Jonsson","Mattias","S","Göteborgs kommun","1974","","","Utbildning saknas","","","Anställningar saknas","",""
"Josefsson","David","M","Göteborgs kommun","1983","Alingsås","7","härledd 1999→2006","","","Anställningar saknas","Gymnasieskola, Alströmergymnasiet, Alingsås 99–02. Handelshögskolan, Göteborgs universitet 03–06.",""
"Karlsson","Maj","V","Göteborgs kommun","1980","","","Utbildning saknas","","","Anställningar saknas","",""
"Nohrén","Emma","MP","Göteborgs kommun","1980","","","Utbildning saknas","","","Anställningar saknas","",""
"Nordin","Rickard","C","Göteborgs kommun","1983","","7","härledd 2002→2009","8","11","spann-summa; 1 politiskt segment borträknat","Gymnasieskola i Eksjö, slutår –02. Chalmers tekniska högskola 03–04. Göteborgs universitet 04–09.","Kioskpersonal, Movänta Camping 97. Städare, Movänta Camping 98–99. Receptionist, Movänta Camping 00–07. Projektledare, EUE AB 02–03. Politisk sekreterare, Centerpartiet i Göteborg 07–10."
"Odenjung","Helene","L","Göteborgs kommun","1965","","","Utbildning saknas","","","Anställningar saknas","",""
"Rud Stenlöf","Amalia","S","Göteborgs kommun","1993","masterexamen; förvaltning","","inga årtal","1","1","spann-summa","Pol. masterexamen offentlig förvaltning, Göteborgs universitet.","Politiskt sakkunnig, Infrastrukturdepartementet 21–22."
"Ståhl","Jimmy","SD","Göteborgs kommun","1975","","","Utbildning saknas","","","Anställningar saknas","",""
"Tidland","Björn","SD","Göteborgs kommun","1963","Fil.kand.; Civilingenjörsexamen","15","härledd 1982→1997","18","25","spann-summa; 1 politiskt segment borträknat","Fyraårig teknisk linje, Lars Kaggskolan, Kalmar, slutår 82. Fil.kand. historia, Högskolan i Karlstad/Göteborgs universitet, slutår 91. Civilingenjörsexamen, maskinteknik, Chalmers tekniska högskola 97.","Montör, Volvo Kalmarverken, Kalmar 84. Taxichaufför, Taxikedjan, Göteborg, 91–95. Design Engineer, Lear Corporation, Trollhättan 97–99. Forskarstuderande, Chalmers, Göteborg 99-00. Konsult fordonsindustrin, HRM, Göteborg 00-04 och Semcon 04–08. Konsult, egen firma, 09–11. Konstruktör, Medicinteknik hörapparater, Otorix AB, Göteborg 13–14. Politisk sekreterare, Göteborgs stad 15–22."
"Bergenblock","Christofer","C","Hallands län","1974","Gymnasielärarexamen","","ett årtal (studietid ej härledbar)","","","Anställningar saknas","Gymnasielärarexamen, Göteborgs universitet 00.",""
"Birinxhiku","Aida","S","Hallands län","1999","Juristexamen","4","härledd 2018→2022","","","Anställningar saknas","Gymnasieskola, Falkenberg, slutår 18. Juristexamen, Lunds universitet 22.",""
"Bjälkö","Sara-Lena","-","Hallands län","1976","","","ett årtal (studietid ej härledbar)","","","inga daterade spann","Undersköterska, slutår 94.","Undersköterska, Victoriagården, Karlsgården, Bokhöjden och Tallgläntan, m.m. Personlig assistent. Mackföreståndarinna, Skrea Motell. Bilförsäljare, Securitas och Ford. I eget företag, svensk förmedlingstjänst, Tbr Service AB. Säljansvarig, Sverigedemokraterna."
"Boulwén","Carita","SD","Hallands län","1967","","","Utbildning saknas","","","Anställningar saknas","",""
"Gashi","Arber","S","Hallands län","1994","","","Utbildning saknas","","","Anställningar saknas","",""
"Hellsborn","Erik","SD","Hallands län","1984","","","ett årtal (studietid ej härledbar)","19","19","spann-summa","Gymnasieskola, Peder Skrivares skola, Varberg, slutår 03.","Undersköterska, Varbergs kommun, 03–22."
"Nilsson","Jennie","S","Hallands län","1972","","2","härledd 1988→1990","35","35","spann-summa, pågående=2025","Social linje, Sannarpsgymnasiet, Halmstad 88–90.","Personlig assistent 90–91. Vårdbiträde, Hylte kommun 91–."
"Püss","Lars","M","Hallands län","1966","inriktning; Fil.kand.; Fil.mag.","","inga årtal","23","23","spann-summa","Fyraårig teknisk linje, inriktning maskin, Kattegattskolan, Halmstad. Fil.kand. (civilekonom) Umeå universitet. Fil.mag., Strategic Leadership, Högskolan i Halmstad (ej avslutad).","Sales Support, Panton Med, Stockholm 88–89. European Sales Support, Software Publishing Corporation, London 89–91, Stockholm 91–92. Institutionsmäklare, Swedbank Markets, Stockholm 93–96. Institutionsmäklare, Handelsbanken Markets, Stockholm 96–98. Kapitalförvaltare, Swedbank Luxembourg, Luxemburg 98–01. Institutionsmäklare, Nordea Securites, Stockholm 01–02. Swedbank Markets, Stockholm 02–03. Egenföretagare, Halmstad/Stockholm 03–08. Lärare i organisationsteori, Högskolan i Halmstad 10–14."
"Riise","Jan","MP","Hallands län","1957","Samhällsplanering","9","härledd 1973→1982","40","40","spann-summa","Naturvetenskap, Hvitfeldtska gymnasiet, Göteborg 73–76. Samhällsplanering med kulturgeografi, Göteborgs universitet 77–82.","Handläggare, Västsvenska Handelskammaren 82–90. Egen verksamhet, Agadem Jan Riise & Co AB 90–15. Projektledare, Chalmers tekniska högskola 15–22."
"Rönn","Cecilia","L","Hallands län","1980","utbildning; Maskiningenjör","17","härledd 1999→2016","19","19","spann-summa","Gymnasieskola, teknisk utbildning, Varberg, slutår 99. Maskiningenjör, Högskolan i Halmstad 99–02. Företagsekonomi, Göteborgs universitet, examen 16.","Projektledare, Halmstad studentkår 03–04 och VD 04. Konstruktör, Strängbetong 04–06. Produktionsledare, Carlsberg Sverige 06–10. Platschef Ramlösa, Carlsberg Sverige 10–14. Produktionschef Sverige, Carlsberg Sverige 14–15. Lean/TPM Manager Sverige, Carlsberg Sverige 15–19. Egenföretagare, interims-VD 19–22."
"Storckenfeldt","Helena","M","Hallands län","1995","Statsvetarexamen","6","härledd 2013→2019","","","Anställningar saknas","Alpena High School, slutår 13. Statsvetarexamen, Göteborgs universitet 18. Master of Science, International Business, Hult International Business School 19.",""
"Söder","Larry","KD","Hallands län","1969","","","Utbildning saknas","","","Anställningar saknas","",""
"Fransson","Josef","SD","Jämtlands län","1978","","","Utbildning saknas","","","Anställningar saknas","",""
"Olsson","Kalle","S","Jämtlands län","1984","","","Utbildning saknas","","","Anställningar saknas","",""
"Quicklund","Saila","M","Jämtlands län","1961","","","Utbildning saknas","","","Anställningar saknas","",""
"Sätherberg","Anna-Caren","S","Jämtlands län","1964","","","Utbildning saknas","","","Anställningar saknas","",""
"Bouveng","Helena","M","Jönköpings län","1962","","","inga årtal","16","16","spann-summa","Universitetsstudier i språk och ekonomi, Växjö och Stockholm.","Vingresor 86–90. Gymnasielärare 90–95. Egen företagare 95–02."
"Eklöf","Staffan","SD","Jönköpings län","1965","Plutonchefsutbildning; Fil. kand.; Fil. dr.","33","härledd 1981→2014","21","21","spann-summa","Bessemergymnasiet, Sandviken och Polhemsskolan, Gävle 81–84. Värnplikt I 14 Gävle. Plutonchefsutbildning 84–85. Fil. kand., Umeå universitet 89. Fil. dr., cell- och molekylärbiologi, SLU, Umeå 96.","Forskare, Biocentrum Wien 97–98. Handläggare, Jordbruksverket 98–06 och 07–18. Enhetschef, Jordbruksverket 06–07."
"Green","Mats","M","Jönköpings län","1979","","","Utbildning saknas","","","Anställningar saknas","",""
"Haraldsson","Johanna","S","Jönköpings län","1980","","1","härledd 1999→2000","14","14","spann-summa","Njudungsgymnasiet, Vetlanda, slutår 99. Enstaka kurser, Linnéuniversitetet 99–00.","Maskinoperatör, Swedish Match Industries AB, Vetlanda 00–14."
"Karlsson","Anders","C","Jönköpings län","1961","","","Utbildning saknas","","","Anställningar saknas","",""
"Muranovic","Azra","S","Jönköpings län","1987","","","Utbildning saknas","","","Anställningar saknas","",""
"Olofsgård","Jakob","L","Jönköpings län","1975","Teologiexamen; Jönköping","6","härledd 1994→2000","25","25","spann-summa, pågående=2025","Byggteknisk linje, Njudungs gymnasieskola, Vetlanda, slutår 94. Teologiexamen, Korteboskolan, Jönköping 00.","Pastor i Svenska Alliansmissionen 00–10. Pastor i Equmeniakyrkan 10–18. Kulturskribent, Jönköpings-Posten 12–15. Projektledare, OBOS 08–."
"Rinaldo Miller","Camilla","KD","Jönköpings län","1969","","","Utbildning saknas","","","Anställningar saknas","",""
"Sigvardsson","Niklas","S","Jönköpings län","1991","Lärarexamen; Jönköping","6","härledd 2010→2016","7","7","spann-summa","Gymnasieskola, Gislaved, slutår 10. Handelshögskolan vid Göteborgs universitet 14–15. Lärarexamen, Högskolan i Jönköping 16.","Gymnasielärare, Erik Dahlbergsgymnasiet i Jönköping 15–16, Gislaveds gymnasium 16–19 och Sandagymnasiet i Huskvarna 19–22."
"Weidby","Ciczie","V","Jönköpings län","1974","Gymnasieutbildning; Södra","5","härledd 1997→2002","","","Anställningar saknas","Gymnasieutbildning, Södra Vätterbygdens folkhögskola och Ädelfors folkhögskola, slutår 97. Enstaka kurser, Lunds universitet 98–02.",""
"Westroth","Eric","SD","Jönköpings län","1971","Jönköping","7","härledd 1987→1994","29","29","spann-summa, pågående=2025","Tekniskt gymnasium, Gislaved 87–90. Ingenjörshögskolan, Jönköping 90–92. Flygbasjägarskolan, F7 92–93. Ingenjörshögskolan, Jönköping 93–94.","Företagare, Westroth AB 96–."
"Åkesson","Jimmie","SD","Jönköpings län","1979","","10","härledd 1995→2005","6","6","spann-summa","Furulundsskolan, Sölvesborg 95–98. Studier vid Lunds universitet 98–05.","Webbproduktion/delägare, BMJ Aktiv 00–06."
"Ödebrink","Carina","S","Jönköpings län","1961","","","Utbildning saknas","","","inga daterade spann","","Förskollärare, Vaggeryds kommun."
"Brunegård","Gudrun","KD","Kalmar län","1957","Högskoleexamen; Sjuksköterskeutbildning; Södra; Fil.kand.; Distriktssköterskeutbildning; förskrivningsrätt; Fil. kand.","81","härledd 1940→2021","41","41","spann-summa, pågående=2025","Grundskola, Oskarshamn och Kalmar, slutår 73. Gymnasieskola, humanistisk linje, Kalmar 73–76. Högskoleexamen i engelska, fonetik och psykologi, Lunds universitet 78. Sjuksköterskeutbildning, Södra Sveriges Sjuksköterskehem, Lund 78–81. Medicinsk och kirurgisk sjukvård, Kopparbergs läns sjuksköterskeskola, Falun 82. Tropikmedicin/International Child Health 20 p, Uppsala universitet 90. Engelska 21–40 p, Hermods/Lunds universitet 93. Engelska 41-60 p, Högskolan i Växjö. Fil.kand.-examen 95. Distriktssköterskeutbildning med förskrivningsrätt för vissa läkemedel, Högskolan i Kalmar 97–98. Medicinsk etik, vetenskapsteori, omvårdnadskunskap, Högskolan i Kalmar. Fil. kand.-examen 00.","Leg. sjuksköterska, Mora lasarett och Leksands sjukhem 81–83. Registered Nurse grade A, Nkinga Hospital, Tanzania 84–85. Leg. sjuksköterska, Mora lasarett 85–86. Skolsköterska, Vimmerby kommun 88–90. Leg. sjuksköterska, Vimmerby sjukhus, 88–90. Nursing Officer, Nkinga Nurses Training School, Tanzania 90–91. Matron in charge/Administrator in charge, Mchukwi Hospital, Tanzania, 91–93. Leg. sjuksköterska, Vimmerby sjukhem, Vimmerby kommun 93. Skolsköterska, Vimmerby kommun, 1993–."
"Bäckström Johansson","Mattias","SD","Kalmar län","1985","Driftingenjör","4","härledd 2004→2008","17","17","spann-summa, pågående=2025","Oscarsgymnasiet, Oskarshamn, slutår 04. Driftingenjör, Sjöfartshögskolan i Kalmar, slutår 08.","Drifttekniker, Oskarshamns kommun 05. Reaktoroperatör, turbinoperatör och stationstekniker, OKG 08–."
"Engsund","Lars","M","Kalmar län","1968","komplettering","13","härledd 1985→1998","34","34","spann-summa, pågående=2025","Gymnasieskola, vårdlinjen, Oskarshamn 85–86, naturvetenskaplig komplettering, Odisn och Kjellbergska gymnasiet, Göteborg 89–90. Kemitekniklinjen, Chalmers tekniska högskola, Göteborg 92–98.","Underskötare, Oskarshamns Sjukhus och Sahlgrenska 86–92. Högstadielärare, Oskarshamns och Mönsterås Kommun 90–92. Process- och beräkningsingenjör, OKG AB 97–01. Grupp- och enhetschef, OKG AB 01–05. Avdelningschef, Södra Cell AB 05–07. Avdelningschef och projektledare, Vattenfall Power Consultant AB 07–11. Företagare och Projektledare, E&L Projekt- & Ingenjörsbyrå AB 11–18. Senior Projektledare, Pöyry Sweden AB (AFRY) 18–20. Företagare och Senior Projektledare, Graneholmen Project Management AB 20–."
"Hallengren","Lena","S","Kalmar län","1973","Lärarutbildning","8","härledd 1989→1997","3","3","spann-summa; 1 politiskt segment borträknat","Gymnasieskola, samhällsvetenskaplig linje, Kalmar 89–92. Ekonomiskt basår, Kalmar 92–93. Lärarutbildning, årskurs 1–7 i sv/so och musik, Högskolan i Kalmar 93–97.","Politisk sekreterare, Kalmar kommun 99. Förbundssekreterare, SSU 99–02."
"Kronståhl","Tomas","S","Kalmar län","1967","yrkesutbildning; Militärtjänstgöring; Brandmannautbildning; Brandförmansutbildning; företagsutbildningar","14","härledd 1986→2000","39","39","spann-summa, pågående=2025","Gymnasieskola, yrkesutbildning målare, slutår 86. Militärtjänstgöring, 87. Brandmannautbildning, slutår 93. Brandförmansutbildning, slutår 00. Kortare företagsutbildningar m.m.","Målare, BPA, Västervik 86–89. A. Danielssons måleri AB, 89–92. Egen företagare, 92–. Brandman, deltid 92–00. Brandförman, deltid 00–. Kommunalråd 03–18."
"Naraghi","Laila","S","Kalmar län","1982","Fil.kand.; inriktning; krishantering","","inga årtal","10","10","spann-summa; 1 politiskt segment borträknat","Samvetenskapliga programmet, Oscarsgymnasiet, Oskarshamn. Fil.kand., statsvetenskap med inriktning mot krishantering och internationell samverkan, Försvarshögskolan.","Sommarguide, Svensk Kärnbränslehantering AB 03 och 04. Brevbesvarare hos socialminister Berit Andnor 04. Medarbetare till biträdande partisekreteraren och partikassören, Socialdemokraterna 05. Ombudsman, kommunikationsavdelningen, Socialdemokraterna 05–07. Programansvarig, Folk och Försvar 08–09. Analytiker, Crismart (Nationellt centrum för krishanteringsstudier) vid Försvarshögskolan 08–09. Opinionsbildnings- och pressansvarig, Olof Palmes Internationella Center 09–14. Politiskt sakkunnig hos utrikesministern, Utrikesdepartementet 14–16."
"Nicholson","Marie","M","Kalmar län","1976","Utbildning; undervisning","7","härledd 1994→2001","15","15","spann-summa","Sannarpsgymnasiet, Halmstad 94–96. BA International Relation, Hawaii Pacific University, USA 96–99. Ryska språkstudier, St. Petersburg State University, Ryssland 99–00. Msc Russian and Soviet Studies, London School of Economics, England 00–01. MA Utbildning och undervisning (oavslutade studier), Uppsala Universitet, 2011–.","Commissioning Editor, Euromonitor International, England 01–04. Conference Producer, Informa Plc (Maritime & Transport division), England 04–06. Conference Manager, Visiongain, England 06. Senior Admissions Manager, Foundations Programs Ltd, Hong Kong 07–08. Native English Teacher, Englishtown, Hong Kong 08–11. Lärare, Vimmerby kommun 12–18."
