efternamn,tilltalsnamn,parti,valkrets,fodd_ar,examen,studietid_ar,studietid_not,yrkesar_ex_politik,yrkesar_totalt,yrkesar_not,utbildning_raw,anstallningar_raw
"Melin","Martin","L","Stockholms län","1967","andraspråk","4","härledd 1989→1993","34","34","spann-summa, pågående=2025","Engelska som andraspråk, University of Southern Mississippi 89. Polishögskolan 91–93.","Polismyndigheten 91–."
"Nylund Watz","Ingela","S","Stockholms län","1962","Jönköping","","ett årtal (studietid ej härledbar)","23","25","spann-summa; 1 politiskt segment borträknat","Gymnasieskola, Jönköping, slutår 81.","Ombudsman, SSU Jönköping 81–83. Ombudsman, SSU-förbundet, Stockholm 83–86. Politisk sekreterare, Södertälje kommun 86–88. Tjänsteman, vd-staben, AB Telgebostäder, Södertälje 89–90. Politiskt sakkunnig, Justitiedepartementet 90–91. Ombudsman, Stockholms läns socialdemokratiska partidistrikt 93–94. 1:e ombudsman, Stockholms läns socialdemokratiska partidistrikt 94–98. Heltidsarvoderad förtroendevald, Stockholms läns landsting 99–02. Landstingsråd, Stockholms läns landsting 99–02. Finanslandstingsråd, Stockholms läns landsting 02–06. Landstingsråd, Stockholms läns landsting 06–10."
"Nysmed","Leif","S","Stockholms län","1970","lärlingsutbildning; ombudsmannautbildning","","inga årtal","21","21","spann-summa","Gymnasiekompetens, komvux och Långholmens folkhögskola. Traditionell lärlingsutbildning, träarbetare, LO:s ombudsmannautbildning, Brunnsvik.","Sörmans frisörsalong 86. Postgirot 87–88. HN-bygg 89–90. NCC AB 90–94. Kungsmontage 94. Tormunds Bygg 95. Byggettan 96. Skanska AB 99. JM entreprenad AB 99–00. Byggettan 00–14."
"Ottoson","Erik","M","Stockholms län","1989","Huddinge","","ett årtal (studietid ej härledbar)","3","3","spann-summa","Sjödalsgymnasiet, Huddinge, slutår 09. Studier i statsvetenskap och nationalekonomi, Stockholms universitet, ej avslutade.","Truckförare, Academic Work 09–10. Projektsekreterare med ansvar för valet, Moderaterna i Huddinge kommun 10. Lagerarbetare/truckförare, Academic Work 11. Trafiklandstingsrådssekreterare, Stockholms läns landsting 12–14. Finanslandstingsrådssekreterare, Stockholms läns landsting 15."
"Palmstierna","Amanda","MP","Stockholms län","1977","Fil.kand.","","inga årtal","1","1","spann-summa","Landskapsarkitekt, Sveriges lantbruksuniversitet. Fil.kand., statsvetenskap, Uppsala universitet.","Miljösamordnare, Länsstyrelsen i Stockholms län. Utredningssekreterare. Handläggare, Naturvårdsverket. Utredare, Stockholm Environmental Institute. Oppositionsråd, Järfälla kommun 18-19."
"Reuterskiöld","Adam","M","Stockholms län","1966","Civilekonomexamen","6","härledd 1986→1992","33","33","spann-summa, pågående=2025","Bromma gymnasium, Stockholm slutår 86. Civilekonomexamen, Stockholms universitet 92.","Busschaufför, SL 88–89. Underwriter, KFF kreditförsäkringar 90–91. Processkonsult, Ericsson Data AB 92–94. Deputy director, Ericsson Philippines 95–96. Sales manager, Ericsson Radio Systems 96–97. Director Sales, Ericsson Radio Systems Singapore 97–98. Director Sales, Ericsson Radio Systems Malaysia 99. VP Sales, Ericsson Internet Applications 99–00. Lantbrukare, Stafsunds gård 00–."
"Riazat","Daniel","-","Stockholms län","1991","","","ett årtal (studietid ej härledbar)","","","Anställningar saknas","Gymnasieskola, Falun, slutår 10. Studier på samhällsvetarprogrammet, Högskolan Dalarna.",""
"Rojhan","Azadeh","S","Stockholms län","1986","","","Utbildning saknas","","","Anställningar saknas","",""
"Selin","Markus","S","Stockholms län","1978","","","Utbildning saknas","","","Anställningar saknas","",""
"Stenkvist","Robert","SD","Stockholms län","1958","Fritidspedagogutbildning","","inga årtal","","","inga daterade spann","Fritidspedagogutbildning, Mitthögskolan.","Fritidspedagog, Östersunds kommun och Botkyrka kommun. Vårdbiträde. Arbete vid flyttfirma m.m."
"Stockhaus","Maria","M","Stockholms län","1963","","","Utbildning saknas","","","Anställningar saknas","",""
